Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction,Medicine,Dosage_Info_Medicine,Duration_Medicine,Notes_Medicine,Diet_For_Recovery,Dosage_Info_Diet,Duration_Diet,Notes_Diet,Vaccination_Name,Age_To_Give,Type,Duration_Vaccine,Notes_Vaccine
Horse,Standardbred,6,Male,650,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.4°C,80,Equine Influenza,"NSAIDs, Bronchodilators",As directed by veterinarian,7-10 days,Rest is essential for recovery,"High-quality hay, bran mash, electrolytes","Small, frequent meals",1-2 weeks,Ensure adequate hydration,Equine Influenza Vaccine,"4-6 months, with booster 4-6 weeks later",Core,Every 6-12 months,"Essential for all horses, especially those in contact with other horses"
Cow,Charolais,3,Male,700,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,39.2°C,77,Bovine Tuberculosis,Appropriate medication for bovine Bovine Tuberculosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,2-3 weeks,Vitamin and mineral supplements,BCG Vaccine,Calves,Non-core,Variable,"Limited use, testing and culling more common"
Dog,Poodle,3,Female,20,Vomiting,Diarrhea,Lethargy,Fever,4 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.0°C,120,Parvovirus,"Parvaid, Electrolytes, Antibiotics",5 ml twice daily,5–7 days,"Supportive care, hydration","Boiled chicken, rice, electrolyte water",3 times daily,1 week,"Small portions, frequently",Canine Parvo Vaccine,6–8 weeks,Core,Annual booster,Essential for puppies
Cat,Maine Coon,5,Male,8.5,Coughing,Loss of Appetite,Lethargy,Fever,3 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.1°C,145,Feline Upper Respiratory Infection,Appropriate antibiotics and supportive medication for Feline Upper Respiratory Infection,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Warm soft food, high-calorie paste",2-3 times daily,1-2 weeks,Easy to chew and swallow,FVRCP Vaccine,8 weeks,Core,Annual booster,Protects against multiple viruses causing respiratory infections
Horse,Clydesdale,7,Female,850,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,39.2°C,82,Equine Herpesvirus,Appropriate medication for equine Equine Herpesvirus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality hay, bran mash, electrolytes","Small, frequent meals",2-3 weeks,Ensure adequate hydration,EHV Vaccine,"4-6 months, with booster 4-6 weeks later",Core,Every 6 months,Protects against equine herpesvirus
Cow,Holstein,4,Male,700,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,No,No,Yes,No,Yes,No,Yes,39.3°C,77,Bovine Respiratory Disease,"Antibiotics, Anti-inflammatories",As directed by veterinarian,5-10 days,Early treatment improves outcomes,"High-quality forage, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,BRD Vaccine Complex,"2-4 months, with booster 2-4 weeks later",Core,Annual,Protects against multiple respiratory pathogens
Rabbit,Dutch,2,Male,1.8,Sneezing,Nasal Discharge,Loss of Appetite,Fever,4 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,39.0°C,150,Rabbit Viral Hemorrhagic Disease,Appropriate medication for rabbit Rabbit Viral Hemorrhagic Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Southdown,6,Female,80,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,No,Yes,Yes,No,Yes,Yes,No,No,39.3°C,74,Contagious Ecthyma,Appropriate medication for ovine Contagious Ecthyma,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate mineral supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial Vaccine,"2-3 months, with booster",Core,Annual,Essential preventative care for sheep
Goat,Nubian,4,Male,72,Vomiting,Loss of Appetite,Lethargy,Fever,6 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.6°C,80,Pneumonia,Appropriate medication for caprine Pneumonia,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality browse, hay, and appropriate supplements",Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,CDT Vaccine,"2-3 months, with booster",Core,Annual,Essential for preventing enterotoxemia and tetanus in goats
Pig,Berkshire,5,Female,110,Coughing,Loss of Appetite,Nasal Discharge,Fever,5 days,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,39.2°C,85,Swine Influenza,Appropriate medication for Pig with Swine Influenza,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality feed, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,Swine Influenza Vaccine,Breeding stock and piglets,Non-core,Biannual,Recommended in high-risk herds
Dog,German Shepherd,4,Male,32,Lethargy,Vomiting,Loss of Appetite,Fever,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,39.1°C,130,Canine Hepatitis,Appropriate antibiotics and supportive medication for Canine Hepatitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Low-fat, easily digestible diet","Small, frequent meals",2-3 weeks,Liver support supplements may be beneficial,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including hepatitis"
Cat,Sphynx,3,Female,5,Nasal Discharge,Loss of Appetite,Coughing,Fever,4 days,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,39.0°C,155,Feline Rhinotracheitis,Appropriate antibiotics and supportive medication for Feline Rhinotracheitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, palatable diet appropriate for condition","Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Essential preventative care for all cats
Horse,Andalusian,8,Male,550,Lameness,Swollen Legs,Loss of Appetite,Fever,7 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,39.4°C,88,Equine Encephalomyelitis,Appropriate medication for equine Equine Encephalomyelitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality hay and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,"Core Equine Vaccines (Tetanus, EEE/WEE, Rabies)","4-6 months, with boosters",Core,Annual,Essential preventative care for all horses
Cow,Guernsey,5,Female,450,Coughing,Loss of Appetite,Lethargy,Fever,4 days,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,39.0°C,78,Bovine Parainfluenza,Appropriate medication for bovine Bovine Parainfluenza,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial/Respiratory Vaccine Complex,"2-4 months, with booster",Core,Annual,Essential preventative care for cattle
Rabbit,English Angora,3,Male,1.4,Sneezing,Nasal Discharge,Loss of Appetite,Fever,4 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,38.9°C,148,Pasteurellosis,Appropriate medication for rabbit Pasteurellosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Tunis,4,Male,95,Swollen Joints,Coughing,Loss of Appetite,Lethargy,5 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.2°C,76,Bluetongue Virus,Appropriate medication for ovine Bluetongue Virus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate mineral supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial Vaccine,"2-3 months, with booster",Core,Annual,Essential preventative care for sheep
Goat,Boer,6,Female,75,Vomiting,Loss of Appetite,Lethargy,Fever,6 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.7°C,82,Caprine Viral Arthritis,Appropriate medication for caprine Caprine Viral Arthritis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,Long-term management,Joint supplements may be beneficial,No effective vaccine,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Prevention through testing and management
Pig,Large White,4,Male,120,Coughing,Loss of Appetite,Lethargy,Fever,6 days,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,39.1°C,86,Actinobacillus Pleuropneumonia,Appropriate medication for Pig with Actinobacillus Pleuropneumonia,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Species-appropriate diet for Pig with Actinobacillus Pleuropneumonia,As recommended by veterinarian,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Multi-component Swine Vaccine,"3-4 weeks, with booster",Core,Annual,Essential preventative care for pigs
Dog,Bulldog,3,Female,25,Lethargy,Vomiting,Loss of Appetite,Fever,4 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.2°C,125,Canine Leptospirosis,Appropriate antibiotics and supportive medication for Canine Leptospirosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Low-protein, easily digestible diet","Small, frequent meals",2-3 weeks,Ensure adequate hydration,Leptospirosis Vaccine,"8-9 weeks, with booster 2-4 weeks later",Non-core,Annual,Recommended for dogs in high-risk environments
Cat,Russian Blue,2,Male,6,Nasal Discharge,Loss of Appetite,Coughing,Fever,3 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.0°C,145,Feline Asthma,Appropriate antibiotics and supportive medication for Feline Asthma,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, palatable diet appropriate for condition","Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Essential preventative care for all cats
Horse,Thoroughbred,6,Female,650,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,No,Yes,No,Yes,No,Yes,Yes,No,39.3°C,84,Equine Influenza Virus,Appropriate medication for equine Equine Influenza Virus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality hay and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,"Core Equine Vaccines (Tetanus, EEE/WEE, Rabies)","4-6 months, with boosters",Core,Annual,Essential preventative care for all horses
Cow,Red Poll,4,Male,680,Coughing,Loss of Appetite,Lethargy,Fever,6 days,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,39.4°C,77,Bovine Tuberculosis,Appropriate medication for bovine Bovine Tuberculosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,2-3 weeks,Vitamin and mineral supplements,BCG Vaccine,Calves,Non-core,Variable,"Limited use, testing and culling more common"
Rabbit,Himalayan,2,Female,1.1,Sneezing,Loss of Appetite,Nasal Discharge,Fever,3 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,38.8°C,150,Rabbit Calicivirus,Appropriate medication for rabbit Rabbit Calicivirus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Romney,5,Female,90,Coughing,Loss of Appetite,Lethargy,Fever,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,39.1°C,75,Maedi-Visna,Appropriate medication for ovine Maedi-Visna,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate mineral supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial Vaccine,"2-3 months, with booster",Core,Annual,Essential preventative care for sheep
Goat,Alpine,5,Male,80,Vomiting,Diarrhea,Loss of Appetite,Fever,4 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.5°C,80,Caseous Lymphadenitis,Appropriate medication for caprine Caseous Lymphadenitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality browse, hay, and appropriate supplements",Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,CDT Vaccine,"2-3 months, with booster",Core,Annual,Essential for preventing enterotoxemia and tetanus in goats
Pig,Pietrain,4,Female,130,Coughing,Loss of Appetite,Lethargy,Nasal Discharge,6 days,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,39.2°C,88,Swine Erysipelas,Appropriate medication for Pig with Swine Erysipelas,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Species-appropriate diet for Pig with Swine Erysipelas,As recommended by veterinarian,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Multi-component Swine Vaccine,"3-4 weeks, with booster",Core,Annual,Essential preventative care for pigs
Dog,Beagle,5,Male,25,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,39.2°C,120,Kennel Cough,"Doxycycline, Cough suppressants",5-10 mg/kg daily,7-10 days,Rest and isolation from other dogs,Regular diet with added warm broth,Normal feeding schedule,2-3 weeks,Ensure adequate hydration,Bordetella Vaccine,6-8 weeks,Non-core,Annual or biannual,"Recommended for dogs in kennels, daycares, or frequent social settings"
Cat,Bengal,3,Female,6,Nasal Discharge,Loss of Appetite,Coughing,Fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,39.1°C,145,Feline Herpesvirus,"L-lysine, Famciclovir",500 mg twice daily,7-14 days,Supportive care for symptoms,"Highly palatable, aromatic food","Small, frequent meals",2-3 weeks,L-lysine supplements may be beneficial,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Protects against multiple viruses including herpesvirus
Horse,Appaloosa,9,Male,550,Lameness,Loss of Appetite,Swollen Legs,Fever,7 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.4°C,80,Equine Infectious Anemia,Supportive care only,As directed by veterinarian,Ongoing management,"No cure, management of symptoms only","High-quality hay, vitamin and mineral supplements","Small, frequent meals",2-3 weeks,Iron supplements may be beneficial,No vaccine available,N/A,N/A,N/A,Prevention through testing and quarantine
Cow,Jersey,6,Female,500,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.2°C,75,Bovine Viral Diarrhea,"Antibiotics for secondary infections, Supportive care",As directed by veterinarian,5-10 days,Isolation of infected animals,"Electrolyte solution, high-quality forage","Small, frequent meals",1-2 weeks,Ensure adequate hydration,BVD Vaccine,"2-4 months, with booster 2-4 weeks later",Core,Annual,Essential for breeding cattle
Rabbit,English Lop,3,Male,2,Sneezing,Nasal Discharge,Loss of Appetite,Fever,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,39.0°C,155,Myxomatosis,Appropriate medication for rabbit Myxomatosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Blackface,4,Male,95,Coughing,Loss of Appetite,Lethargy,Fever,6 days,Yes,No,Yes,No,Yes,Yes,No,Yes,No,39.3°C,77,Blue Tongue Disease,Appropriate medication for ovine Blue Tongue Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate mineral supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial Vaccine,"2-3 months, with booster",Core,Annual,Essential preventative care for sheep
Goat,Saanen,5,Female,85,Vomiting,Diarrhea,Lethargy,Fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,39.6°C,85,Caprine Arthritis Encephalitis,Appropriate medication for caprine Caprine Arthritis Encephalitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,Long-term management,Joint supplements may be beneficial,No effective vaccine,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Prevention through testing and management
Pig,Landrace,6,Male,120,Coughing,Loss of Appetite,Nasal Discharge,Fever,5 days,Yes,No,Yes,Yes,No,No,Yes,Yes,No,39.1°C,95,Actinobacillus Pleuropneumonia,Appropriate medication for Pig with Actinobacillus Pleuropneumonia,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Species-appropriate diet for Pig with Actinobacillus Pleuropneumonia,As recommended by veterinarian,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Multi-component Swine Vaccine,"3-4 weeks, with booster",Core,Annual,Essential preventative care for pigs
Dog,Chihuahua,4,Female,5,Lethargy,Vomiting,Loss of Appetite,Fever,3 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,39.1°C,110,Canine Parvovirus,Appropriate antibiotics and supportive medication for Canine Parvovirus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Highly digestible, bland diet with electrolytes","Small, frequent meals (4-6 times daily)",2-3 weeks,Gradually transition back to regular diet as symptoms improve,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including parvovirus"
Cat,Siberian,7,Male,10.2,Nasal Discharge,Loss of Appetite,Coughing,Fever,5 days,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,39.0°C,135,Feline Asthma,Appropriate antibiotics and supportive medication for Feline Asthma,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, palatable diet appropriate for condition","Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Essential preventative care for all cats
Horse,Clydesdale,7,Female,800,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39.5°C,85,Equine Leptospirosis,Appropriate medication for equine Equine Leptospirosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality hay, bran mash, electrolytes",Normal feeding schedule,2-3 weeks,Ensure adequate hydration,Lepto EQ Innovator,"6 months, with booster 4-6 weeks later",Non-core,Annual,Recommended in areas with high prevalence
Cow,Ayrshire,5,Male,720,Coughing,Loss of Appetite,Lethargy,Fever,4 days,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,39.3°C,82,Bovine Tuberculosis,Appropriate medication for bovine Bovine Tuberculosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,2-3 weeks,Vitamin and mineral supplements,BCG Vaccine,Calves,Non-core,Variable,"Limited use, testing and culling more common"
Rabbit,Himalayan,4,Female,1.6,Sneezing,Loss of Appetite,Nasal Discharge,Fever,5 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.0°C,145,Pasteurellosis,Appropriate medication for rabbit Pasteurellosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Suffolk,4,Male,85,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.4°C,78,Contagious Abortion,Appropriate medication for ovine Contagious Abortion,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate mineral supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial Vaccine,"2-3 months, with booster",Core,Annual,Essential preventative care for sheep
Goat,Nubian,6,Female,95,Vomiting,Diarrhea,Lethargy,Fever,6 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,39.8°C,80,Pneumonia,Appropriate medication for caprine Pneumonia,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality browse, hay, and appropriate supplements",Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,CDT Vaccine,"2-3 months, with booster",Core,Annual,Essential for preventing enterotoxemia and tetanus in goats
Pig,Duroc,3,Male,110,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.2°C,100,Swine Dysentery,Appropriate medication for Pig with Swine Dysentery,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Species-appropriate diet for Pig with Swine Dysentery,As recommended by veterinarian,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Multi-component Swine Vaccine,"3-4 weeks, with booster",Core,Annual,Essential preventative care for pigs
Dog,Boxer,6,Female,30,Lethargy,Vomiting,Loss of Appetite,Fever,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.1°C,115,Canine Leptospirosis,Appropriate antibiotics and supportive medication for Canine Leptospirosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Low-protein, easily digestible diet","Small, frequent meals",2-3 weeks,Ensure adequate hydration,Leptospirosis Vaccine,"8-9 weeks, with booster 2-4 weeks later",Non-core,Annual,Recommended for dogs in high-risk environments
Cat,Abyssinian,5,Male,4.5,Coughing,Loss of Appetite,Nasal Discharge,Fever,3 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,39.0°C,140,Feline Respiratory Disease Complex,Appropriate antibiotics and supportive medication for Feline Respiratory Disease Complex,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, palatable diet appropriate for condition","Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Essential preventative care for all cats
Horse,Morgan,5,Male,550,Lameness,Loss of Appetite,Swollen Legs,Fever,6 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.2°C,80,Equine Herpesvirus,Appropriate medication for equine Equine Herpesvirus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality hay, bran mash, electrolytes","Small, frequent meals",2-3 weeks,Ensure adequate hydration,EHV Vaccine,"4-6 months, with booster 4-6 weeks later",Core,Every 6 months,Protects against equine herpesvirus
Cow,Belted Galloway,4,Female,650,Coughing,Loss of Appetite,Lethargy,Fever,4 days,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,39.4°C,75,Bovine Tuberculosis,Appropriate medication for bovine Bovine Tuberculosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,2-3 weeks,Vitamin and mineral supplements,BCG Vaccine,Calves,Non-core,Variable,"Limited use, testing and culling more common"
Rabbit,Dutch,3,Male,2,Sneezing,Loss of Appetite,Nasal Discharge,Fever,4 days,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,39.1°C,150,Rabbit Hemorrhagic Disease,Appropriate medication for rabbit Rabbit Hemorrhagic Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, hydration support","Small, frequent meals",2-3 weeks,Critical to maintain hydration and gut motility,RHDV Vaccine,10-12 weeks,Core,Annual,Essential in endemic areas
Sheep,Cheviot,3,Female,75,Coughing,Loss of Appetite,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.3°C,77,Foot-and-Mouth Disease,Appropriate medication for ovine Foot-and-Mouth Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Soft hay, warm water, minerals",Free access,2-3 weeks,Avoid hard/dry food,FMD Vaccine,3-6 months,Essential (livestock),6-12 months,Mandatory for sheep in many regions
Goat,Angora,4,Male,90,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,39.6°C,82,Caprine Arthritis,Appropriate medication for caprine Caprine Arthritis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality browse, hay, and appropriate supplements",Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,CDT Vaccine,"2-3 months, with booster",Core,Annual,Essential for preventing enterotoxemia and tetanus in goats
Pig,Large White,5,Female,130,Coughing,Loss of Appetite,Lethargy,Fever,6 days,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,39.0°C,90,Swine Flu,Appropriate medication for Pig with Swine Flu,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Species-appropriate diet for Pig with Swine Flu,As recommended by veterinarian,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Multi-component Swine Vaccine,"3-4 weeks, with booster",Core,Annual,Essential preventative care for pigs
Dog,Yorkshire Terrier,4,Male,8,Lethargy,Vomiting,Loss of Appetite,Fever,3 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.2°C,100,Canine Heartworm Disease,Appropriate antibiotics and supportive medication for Canine Heartworm Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Easily digestible diet appropriate for condition,"Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years",Essential preventative care for all dogs
Cat,Maine Coon,6,Female,10,Coughing,Loss of Appetite,Nasal Discharge,Fever,4 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,39.1°C,145,Feline Leukemia,"Interferon, Supportive care",As directed by veterinarian,Ongoing management,Treatment focuses on symptoms and quality of life,"High-quality, nutrient-dense diet","Small, frequent meals",2-3 weeks,Immune-boosting supplements recommended,FeLV Vaccine,"8-9 weeks, with booster 3-4 weeks later",Non-core,Annual,Recommended for outdoor cats or multi-cat households
